,I18,I20,I21,I22,I23,I24,J18,J19,J20,J21,J22,J23,J24
ENSG00000146648,2.7988744139680843,2.85519541665094,2.605394541147301,2.3901585878404314,2.3043476148131448,3.1658790573632465,2.4238941131358707,2.4135526739084447,2.3249727784342538,2.3697149162152193,2.3967730341888784,2.6400070561241384,2.425220819957094
ENSG00000171858,3.6779541977317765,3.685115953674964,3.3297156601448936,3.56125985678807,3.4479072108666244,3.6707627912328116,3.334995474675865,3.582732649179546,3.671861802515977,3.345412005024098,3.353859367476961,3.4223524019174465,3.415825622722621
ENSG00000182718,3.923636209499408,3.9879148956962935,4.1091826246175485,3.942894472377153,4.009255782374256,3.8720603612595212,4.019945630068465,4.075200394256002,4.031731479038851,4.0104967227484085,3.9646313973301557,4.037209963292669,4.1286220021548905
ENSG00000172757,4.230692879588142,4.43571766635922,4.139225356067835,4.1025003625204866,4.4154900537869155,4.4655858816106475,4.221770954998139,4.17777792794472,4.246252030373776,4.248508276375256,4.414782106550305,4.23350280693083,4.4328843675614396
ENSG00000105974,3.0097675244833195,3.4120630392116857,3.3783841444688902,3.3059832096760142,2.975472629256204,3.363853269770965,3.1443320061172453,3.2503015391284933,3.1355559290864146,3.2169030773610663,2.825107507988645,2.9096878824817765,3.5512936715529455
ENSG00000125148,3.879092905012871,3.922258012859539,3.7343286982452875,3.7293595132288835,3.780405063474361,3.9246755585967064,3.791553586443937,3.8984216736533304,3.74156549712631,3.878077405462947,3.9072776119072974,3.7077715864038665,3.826446835873853
ENSG00000142937,3.332052991892856,3.4847117818856215,3.5786122429131457,3.575242754492245,3.3926183508430294,3.3969753140360686,3.4616404033901587,3.4901985751987388,3.774676171299344,3.5285586222710643,3.4327925201189515,3.5952581307891416,3.439716712364762
ENSG00000070756,3.7581949371376266,3.5414642763052213,3.5116112726878725,3.764443814739812,3.8547202989263565,3.7269652924716588,3.741446983705823,3.5094030860892365,3.616198099387318,3.6393374106387597,3.8833822118621577,3.855865689342757,3.6516614449412543
ENSG00000067225,4.155854391256734,3.929769757057212,3.9790804644837996,4.1025003625204866,4.203819074612116,4.084227810393085,4.121559094522061,3.9487007596547006,4.236038375927167,4.099441042128585,4.018873392404765,3.998184783129671,4.174948776377903
ENSG00000156482,3.890416117969355,3.96650469842127,4.038092794602867,3.9332341575422634,3.8305570343670414,3.8236356025179545,4.000307603480071,3.7303655632809196,3.7073208525431034,4.060883386760639,3.8833822118621577,3.6530964343385492,3.707377264197236
ENSG00000069275,3.8324726195685943,3.8993781697270924,3.700485933332841,3.575242754492245,3.767463969786638,3.7501176187625433,3.4616404033901587,3.6002546095002166,3.494613173024029,3.4039611987014315,3.540612718490114,3.7927365266913866,3.5512936715529455
ENSG00000133112,4.189809158526427,3.9372254953943058,4.086043031540009,4.17366701270828,4.253100526294363,3.9562075209713026,4.213793027381983,4.1175022050669146,3.9932202573650537,4.256621674163199,4.269713472559242,4.1109686742687614,4.028985906708018
ENSG00000140988,3.9344687794548676,3.675512084438512,3.8690328156976332,3.9136289731160017,3.8783134488777775,3.611212479983045,3.8036975426486226,3.9238771816857883,3.596933021493102,3.9789992463417,3.8210195012036148,3.929554942935229,4.067522063916914
ENSG00000135446,2.7988744139680843,3.4729642855387053,2.605394541147301,2.7646092987471005,2.4603106668822843,3.449851588101872,2.470748770334079,2.4688988730808035,2.3249727784342538,2.896335286966226,2.633700868978811,2.471856764153022,2.7070486692640454
ENSG00000197756,3.7054227551055354,3.4963228754034046,3.6772705656267206,3.775870277457542,3.713956891950294,3.449851588101872,3.6612399434323706,3.4302677571683415,3.74156549712631,3.45927116447489,3.505948464253099,3.6898766432795163,3.6516614449412543
ENSG00000074800,3.986938399233045,3.8438636412534044,3.9070769590862584,3.8523960390773344,3.9674848523166073,3.8236356025179545,4.010174822510701,3.9112304233439183,3.966696669348431,3.9574359054505877,3.768168509851723,3.7077715864038665,3.858015811471134
ENSG00000106211,3.1607502814876693,3.5191482724895424,2.792542582606381,2.9363752221816006,2.820239626361859,3.407776608043466,2.908543641360718,2.9340577509403296,3.3311139836979473,3.069410017615005,3.124031079297623,2.6903113767648286,3.1704250701913335
