	L19	K18	K20	K21	K22	K23	K24	L18	L20	L22	L23	L24
ENSG00000087460	3.8040433339841764	3.1436663761529418	2.8510260681355715	3.0140657935600914	3.416673782807598	3.123288246525625	3.2365152171057066	3.2225423906501267	3.2877614561614688	3.1346206340380967	3.143212950649651	3.3571452485311646
ENSG00000154978	1.898951038510906	3.2785766142975517	3.1859428896479582	3.5341524193540335	3.168451737751099	3.4497620891150063	3.3282462164747084	3.3950358081491343	3.390938537857325	3.453141026952977	2.8698097664484017	3.3882996397519225
ENSG00000213741	3.398215828874764	3.4909710883681155	3.424663160458411	3.3600911122777797	3.4491138640423684	3.381142425123437	3.3570440368775083	3.2951472904684858	3.3183426814576227	3.411364031916241	3.5456834041134067	3.462186734037936
ENSG00000034510	3.512277184693684	3.106889819777122	3.0917701727476015	3.034526949165788	2.94877572514346	3.0268633521916586	3.0620230526422567	3.3628356692952823	2.660768027301299	3.0963898977413664	3.27133675413643	3.0652434215651727
ENSG00000136810	3.972976766184871	3.262675146125228	3.2720053915477703	3.3304042429605056	3.1252710513649498	3.141505677503139	3.2680364739989205	3.059304144774305	3.1190253915364217	3.0566392733395205	3.3009575794615262	3.086207846769472
ENSG00000167658	3.4153286923697355	3.0290122080796023	2.8510260681355715	3.218956670513696	3.236517897954084	2.874041235654764	3.283432170251075	3.164405522177318	3.3625294329102884	3.2242537440569103	3.193202533549796	3.274728477011557
ENSG00000072110	3.4321536261610626	3.3248179347433537	3.4479851674109256	3.1671090267303263	3.236517897954084	3.123288246525625	3.3427487874017037	3.6082536683000255	3.2400612238024893	3.2069583490583877	3.384893576836812	3.3728437637468573
ENSG00000170315	3.187665892579375	3.1615595901617013	3.338466374797098	3.509267714110259	3.4056222735960686	3.2605035097703694	3.5382898532862206	3.346338245634344	3.223641760830621	3.3970413049301937	3.0539077717484235	3.106741774537804
ENSG00000244052	3.0985935406573017	3.309640511090268	3.6460122716921415	3.546366341484248	3.416673782807598	3.4759436510752724	3.5845652209969177	3.4414716330198054	3.390938537857325	3.6047159221081855	3.498904925515497	3.3571452485311646
ENSG00000008988	3.557440420723875	2.8761720379097335	2.9119464893927844	3.3600911122777797	3.1542643456841084	2.985530031274556	3.0031299804235325	2.9418449375315827	3.0021717607936926	3.1893585508769613	3.193202533549796	2.827167402349966
ENSG00000143947	3.398215828874764	3.4651260501269845	3.4707756314593	3.3746104657651768	3.360152818312967	3.1942475376942854	3.2680364739989205	2.864119637118169	3.4320939562345	3.2412550869100096	3.256190686482147	3.4902778375611687
ENSG00000214182	3.026162828072709	3.3397684438945037	3.3512445010723018	3.1124255010547857	3.080141315524916	3.1047327729669987	3.2039679414615314	3.013962277241641	3.2400612238024893	2.97205856806871	3.256190686482147	3.274728477011557
ENSG00000112306	3.2293933721603025	3.4250611899544143	3.2581662173433354	3.3746104657651768	3.416673782807598	3.5385470115944844	3.4387727181281096	3.1442504167167367	3.3480163800658485	3.35279954667594	3.5225676681363454	3.1268625299428385
ENSG00000145592	3.5426114941006817	3.687251654206388	3.4819790002725934	3.3304042429605056	3.2878202070839304	3.2443465033727112	3.1530702556929637	3.1442504167167367	3.4454444516364324	3.35279954667594	3.3154453373927053	3.308514561277786
ENSG00000244398	3.0008045709488727	3.4519486496968588	3.3512445010723018	3.3304042429605056	3.3484549041044085	3.00641023196012	3.2039679414615314	3.2035365179789546	3.0623044523171936	3.2579722094989503	3.5682768531571734	3.3571452485311646
ENSG00000174748	3.0508939151555654	3.1615595901617013	3.376321103632752	3.4575597782297782	3.2098447780044137	3.2605035097703694	3.4897687327216778	2.864119637118169	3.2877614561614688	3.274414458696368	3.3009575794615262	3.3411963541300724
ENSG00000198363	3.668763664726192	3.397430772480172	3.2991220940210724	3.3746104657651768	3.416673782807598	3.4759436510752724	3.3427487874017037	3.3950358081491343	3.2721128355353284	3.2905907277516495	2.93501482564717	3.106741774537804
ENSG00000136942	3.0750281077322423	3.3544987238192165	3.41279496544952	3.218956670513696	3.2752392567819144	3.1942475376942854	3.4256067510664825	3.1442504167167367	3.3332895927724304	3.076712086555426	3.20932541403636	3.403520263078295
ENSG00000204628	3.6947604235978653	3.309640511090268	3.155526827143221	3.444203951372165	3.4056222735960686	3.526335953082282	3.3711378089823483	3.555690822092034	3.5816169168263445	3.3065094851779486	3.2408116828773545	3.4763309213186653
ENSG00000256618	3.4809938416330906	3.7677872842933238	3.7011937120627545	3.639052244060714	3.676533353105429	3.663861496206856	3.7314957230696137	3.7172981405064487	3.5816169168263445	3.7666715796475767	3.653867692665397	3.7128627965135688
ENSG00000224631	3.3630856730227805	3.369015168637892	3.493058242959969	3.3304042429605056	3.4384170075488494	3.2279241551223232	3.3282462164747084	3.059304144774305	3.2721128355353284	3.5191103409909585	3.4623266324899395	3.433283656227895
ENSG00000143933	3.5864544523813366	3.0687089377266483	2.987798134777312	3.430667329006142	3.1104529579456317	3.366834801308088	3.187288239616572	3.259503629813543	3.534217318471437	3.274414458696368	3.3009575794615262	3.2917641997948768
ENSG00000225972	3.0008045709488727	3.1436663761529418	3.2991220940210724	3.4169449490898107	3.4056222735960686	3.4759436510752724	3.3427487874017037	3.3628356692952823	3.4716223466140077	3.411364031916241	3.3154453373927053	3.3882996397519225
ENSG00000134419	3.655507376113759	3.0687089377266483	3.2441328294966487	3.1846919591214706	3.095411981797024	3.0858264738183587	3.22037398908338	2.864119637118169	3.1551273327130294	3.1893585508769613	3.0724182493603696	3.0438300607657625
