GENES,L19,L24,K18,L23,K23
ENSG00000244398,3.0008045709488727,3.3571452485311646,3.4519486496968588,3.5682768531571734,3.00641023196012
ENSG00000174748,3.0508939151555654,3.3411963541300724,3.1615595901617013,3.3009575794615262,3.2605035097703694
ENSG00000198363,3.668763664726192,3.106741774537804,3.397430772480172,2.93501482564717,3.4759436510752724
ENSG00000136942,3.0750281077322423,3.403520263078295,3.3544987238192165,3.20932541403636,3.1942475376942854
ENSG00000204628,3.6947604235978653,3.4763309213186653,3.309640511090268,3.2408116828773545,3.526335953082282
ENSG00000256618,3.4809938416330906,3.7128627965135688,3.7677872842933238,3.653867692665397,3.663861496206856
ENSG00000224631,3.3630856730227805,3.433283656227895,3.369015168637892,3.4623266324899395,3.2279241551223232
ENSG00000143933,3.5864544523813366,3.2917641997948768,3.0687089377266483,3.3009575794615262,3.366834801308088
ENSG00000225972,3.0008045709488727,3.3882996397519225,3.1436663761529418,3.3154453373927053,3.4759436510752724
ENSG00000134419,3.655507376113759,3.0438300607657625,3.0687089377266483,3.0724182493603696,3.0858264738183587
ENSG00000130255,3.0985935406573017,2.9766931628443603,2.9663463191382005,3.0158260640491994,2.9424143305874972
ENSG00000185650,3.628455670414186,3.106741774537804,3.106889819777122,3.193202533549796,2.874041235654764
ENSG00000125968,3.792474085237288,2.7134136987754056,2.6375071041031664,2.5557679616712456,2.573651184717234
ENSG00000228236,3.792474085237288,3.0219481156848835,3.106889819777122,3.0539077717484235,2.8973555755653986
ENSG00000187514,3.2496218265358645,2.9047224270710736,3.230092925152765,3.20932541403636,3.1593971627304382
ENSG00000244313,3.307962142842455,3.184904102326432,3.2133948685056457,3.193202533549796,3.2605035097703694
ENSG00000177600,3.3630856730227805,3.3882996397519225,3.0490575387640186,3.1601553296456038,3.3074649039994486
ENSG00000172809,3.1441211244298333,3.0652434215651727,3.3248179347433537,3.0350481840037413,3.0665558269941746
ENSG00000233762,3.2496218265358645,2.9292927217959916,2.9876742731934423,2.9962272005623616,3.0858264738183587
ENSG00000166913,3.187665892579375,3.1268625299428385,3.369015168637892,3.384893576836812,3.352319494346915
ENSG00000132507,2.7039806686546064,3.221807569613337,3.106889819777122,3.27133675413643,3.211227604029944
ENSG00000122566,3.4153286923697355,3.106741774537804,2.7506584248691976,3.0158260640491994,2.8973555755653986
ENSG00000198034,3.1441211244298333,3.274728477011557,3.1964132450474705,3.193202533549796,3.4228765812742665
ENSG00000102144,2.6323604217819225,3.2917641997948768,3.411341408178044,2.8920205628863487,3.3375903860483827
ENSG00000144381,3.0750281077322423,3.239760857488392,3.008556828537073,3.1768154400967985,3.1047327729669987
ENSG00000105193,3.6947604235978653,3.184904102326432,3.262675146125228,2.9962272005623616,3.123288246525625
ENSG00000115053,2.594530136271819,2.799918947993123,2.607099088779856,2.8920205628863487,2.985530031274556
ENSG00000197747,3.7569408990133732,3.0219481156848835,3.106889819777122,2.93501482564717,3.0665558269941746
ENSG00000115268,3.2496218265358645,3.086207846769472,3.0490575387640186,2.8238510755546025,3.00641023196012
ENSG00000143321,3.398215828874764,3.1268625299428385,3.0290122080796023,2.8470944229269297,2.964204533390297
ENSG00000127184,3.380805008998033,3.1268625299428385,2.8994893135385644,2.9762365298572915,2.8973555755653986
ENSG00000117525,2.2257252341420184,3.106741774537804,2.8994893135385644,3.27133675413643,3.141505677503139
ENSG00000169567,3.6947604235978653,2.7719071673595916,2.827840146677328,2.7756780048944165,2.8973555755653986
ENSG00000237550,2.331436917435831,3.274728477011557,3.0879815901538867,2.9558380663277513,3.141505677503139
ENSG00000108107,2.427034324518692,2.5501943451663167,3.008556828537073,2.7756780048944165,2.964204533390297
ENSG00000110700,3.345046689727698,2.799918947993123,2.8994893135385644,3.1259785731941063,3.0858264738183587
ENSG00000185641,3.5864544523813366,3.0652434215651727,2.8994893135385644,3.2408116828773545,3.3226410838179823
ENSG00000108602,3.8814839603862112,1.6268722564839089,2.1442685008685056,1.7496302400106518,2.0390589173447244
ENSG00000167526,3.0985935406573017,3.086207846769472,3.008556828537073,2.93501482564717,3.0268633521916586
ENSG00000189159,3.0750281077322423,2.9047224270710736,3.262675146125228,3.2251924664789047,3.1942475376942854
ENSG00000087086,3.7075096815406914,2.9292927217959916,2.237844480489275,2.6439956112558414,2.437358404176848
ENSG00000158710,2.974786504736343,2.9292927217959916,2.8994893135385644,2.8238510755546025,2.9424143305874972
ENSG00000089157,3.1661305081352205,3.0438300607657625,3.0687089377266483,3.10844195543671,3.2764036126050398
ENSG00000161970,2.3803775442782653,2.999576618766616,3.1254471528256595,3.256190686482147,3.0665558269941746
ENSG00000197958,3.121616405280421,3.0219481156848835,3.1436663761529418,3.143212950649651,3.0268633521916586
ENSG00000109971,2.974786504736343,3.146586412800304,3.0687089377266483,3.384893576836812,3.123288246525625
ENSG00000198431,3.628455670414186,2.51409142634444,2.575737349415911,2.351846621772724,2.6050076133284232
ENSG00000154582,2.331436917435831,3.0219481156848835,3.1615595901617013,3.2862568369513565,3.4228765812742665
ENSG00000131469,2.7379547891454257,2.9766931628443603,2.9663463191382005,2.913748739800992,3.123288246525625
ENSG00000164032,3.121616405280421,3.086207846769472,3.1436663761529418,2.913748739800992,3.381142425123437
ENSG00000105372,3.4321536261610626,3.1659287770029594,3.0879815901538867,3.10844195543671,3.2605035097703694
ENSG00000173812,3.3630856730227805,3.146586412800304,2.9445535519423123,2.9762365298572915,3.0268633521916586
ENSG00000186468,3.4967578391195566,3.1659287770029594,2.7506584248691976,2.9762365298572915,3.046906513235764
ENSG00000149273,3.3630856730227805,2.9532737662582784,3.3248179347433537,3.2251924664789047,3.00641023196012
ENSG00000119705,2.4716109427872204,2.3972343779226857,2.723548118524086,3.0539077717484235,2.9201387180356875
ENSG00000106366,2.0427009719032965,2.216577440434282,1.5619054348146768,2.273451942724104,2.3213715932852654
ENSG00000106153,2.4716109427872204,3.184904102326432,2.7770531202653848,3.143212950649651,3.0268633521916586
ENSG00000005022,3.187665892579375,3.184904102326432,3.008556828537073,2.8920205628863487,2.9201387180356875
ENSG00000229344,2.8026248278392147,3.2035260595482007,3.397430772480172,3.329726194160737,3.211227604029944
ENSG00000142864,2.168360193484125,2.879533193533096,3.106889819777122,3.3576902672801445,3.2443465033727112
ENSG00000132475,3.187665892579375,3.086207846769472,3.262675146125228,2.9558380663277513,2.748544656607301
ENSG00000115310,3.307962142842455,3.086207846769472,2.6375071041031664,3.1601553296456038,2.964204533390297
ENSG00000136238,3.2293933721603025,2.827167402349966,2.475280235878329,2.8920205628863487,3.046906513235764
ENSG00000130726,2.279977295855909,2.799918947993123,2.8761720379097335,3.0539077717484235,2.964204533390297
ENSG00000108953,2.3803775442782653,3.239760857488392,2.7506584248691976,2.9962272005623616,2.964204533390297
ENSG00000136938,2.9206270209924448,2.310979989596351,2.827840146677328,2.52453981912366,2.573651184717234
ENSG00000155506,3.380805008998033,2.879533193533096,2.9445535519423123,3.20932541403636,2.664916523426226
ENSG00000218227,2.8924060551179265,3.0652434215651727,3.008556828537073,2.8920205628863487,3.0665558269941746
ENSG00000262902,3.2293933721603025,3.184904102326432,3.0879815901538867,3.2251924664789047,3.366834801308088
ENSG00000111716,2.9206270209924448,2.999576618766616,2.9445535519423123,2.8698097664484017,3.1047327729669987
ENSG00000108821,3.4967578391195566,1.035622954517368,2.1442685008685056,1.8162105650922196,1.5601212939224225
