GENES,L19,L24,L18,K20
ENSG00000008988,3.557440420723875,2.827167402349966,2.9418449375315827,2.9119464893927844
ENSG00000143947,3.398215828874764,3.4902778375611687,2.864119637118169,3.4707756314593
ENSG00000214182,3.026162828072709,3.274728477011557,3.013962277241641,3.3512445010723018
ENSG00000112306,3.2293933721603025,3.1268625299428385,3.1442504167167367,3.2581662173433354
ENSG00000145592,3.5426114941006817,3.308514561277786,3.1442504167167367,3.4819790002725934
ENSG00000244398,3.0008045709488727,3.3571452485311646,3.2035365179789546,3.3512445010723018
ENSG00000174748,3.0508939151555654,3.3411963541300724,2.864119637118169,3.376321103632752
ENSG00000198363,3.668763664726192,3.106741774537804,3.3950358081491343,3.2991220940210724
ENSG00000136942,3.0750281077322423,3.403520263078295,3.1442504167167367,3.41279496544952
ENSG00000204628,3.6947604235978653,3.4763309213186653,3.555690822092034,3.155526827143221
ENSG00000256618,3.4809938416330906,3.7128627965135688,3.7172981405064487,3.7011937120627545
ENSG00000224631,3.3630856730227805,3.433283656227895,3.059304144774305,3.493058242959969
ENSG00000143933,3.5864544523813366,3.2917641997948768,3.259503629813543,2.987798134777312
ENSG00000225972,3.0008045709488727,3.3882996397519225,3.3628356692952823,3.2991220940210724
ENSG00000134419,3.655507376113759,3.0438300607657625,2.864119637118169,3.2441328294966487
ENSG00000130255,3.0985935406573017,2.9766931628443603,3.102678993324027,2.987798134777312
ENSG00000185650,3.628455670414186,3.106741774537804,3.184162412221561,3.1708504960454515
ENSG00000125968,3.792474085237288,2.7134136987754056,2.7798401083113946,2.4430431257945706
ENSG00000228236,3.792474085237288,3.0219481156848835,2.9418449375315827,2.9693677626345623
ENSG00000187514,3.2496218265358645,2.9047224270710736,3.184162412221561,3.1708504960454515
ENSG00000244313,3.307962142842455,3.184904102326432,3.1442504167167367,3.3124095956234982
ENSG00000177600,3.3630856730227805,3.3882996397519225,3.2225423906501267,3.2856556544125985
ENSG00000172809,3.1441211244298333,3.0652434215651727,3.1442504167167367,3.338466374797098
ENSG00000233762,3.2496218265358645,2.9292927217959916,2.9418449375315827,3.023670115342142
ENSG00000166913,3.187665892579375,3.1268625299428385,3.0368901746160386,3.0751749807634305
ENSG00000132507,2.7039806686546064,3.221807569613337,3.4262313617571567,3.215461058507272
ENSG00000122566,3.4153286923697355,3.106741774537804,3.0368901746160386,3.1859428896479582
ENSG00000198034,3.1441211244298333,3.274728477011557,3.4564831207753124,3.2991220940210724
ENSG00000102144,2.6323604217819225,3.2917641997948768,3.410755225341551,3.0582997342885965
ENSG00000144381,3.0750281077322423,3.239760857488392,3.164405522177318,3.4594453236864906
ENSG00000105193,3.6947604235978653,3.184904102326432,3.0368901746160386,3.2441328294966487
ENSG00000115053,2.594530136271819,2.799918947993123,3.123680712372237,2.9119464893927844
ENSG00000197747,3.7569408990133732,3.0219481156848835,3.0368901746160386,2.987798134777312
ENSG00000115268,3.2496218265358645,3.086207846769472,2.9904963309355543,3.108094454033991
ENSG00000143321,3.398215828874764,3.1268625299428385,3.0812267228019974,2.7404401955421145
ENSG00000127184,3.380805008998033,3.1268625299428385,3.059304144774305,2.9693677626345623
ENSG00000117525,2.2257252341420184,3.106741774537804,3.0812267228019974,3.41279496544952
ENSG00000169567,3.6947604235978653,2.7719071673595916,2.8087297416968893,2.9693677626345623
ENSG00000237550,2.331436917435831,3.274728477011557,3.0812267228019974,3.0751749807634305
ENSG00000108107,2.427034324518692,2.5501943451663167,2.916601844291516,2.6160868313177863
ENSG00000110700,3.345046689727698,2.799918947993123,2.8368081454565237,3.0917701727476015
ENSG00000185641,3.5864544523813366,3.0652434215651727,3.259503629813543,3.023670115342142
ENSG00000108602,3.8814839603862112,1.6268722564839089,1.6585137185970964,2.1098376085379833
ENSG00000167526,3.0985935406573017,3.086207846769472,3.0368901746160386,3.005894966309945
ENSG00000189159,3.0750281077322423,2.9047224270710736,2.9418449375315827,2.8298656460994382
ENSG00000087086,3.7075096815406914,2.9292927217959916,2.5864180646632224,2.6925380882358243
ENSG00000158710,2.974786504736343,2.9292927217959916,2.8368081454565237,2.931455572862228
ENSG00000089157,3.1661305081352205,3.0438300607657625,3.0812267228019974,3.2298996992888203
ENSG00000161970,2.3803775442782653,2.999576618766616,3.164405522177318,3.2008108854102653
ENSG00000197958,3.121616405280421,3.0219481156848835,2.9904963309355543,3.0411348186393807
ENSG00000109971,2.974786504736343,3.146586412800304,3.27748426055309,2.9693677626345623
ENSG00000198431,3.628455670414186,2.51409142634444,2.30012091338035,2.5333033333053905
ENSG00000154582,2.331436917435831,3.0219481156848835,3.0368901746160386,3.2581662173433354
ENSG00000131469,2.7379547891454257,2.9766931628443603,2.4329600851712296,2.931455572862228
ENSG00000164032,3.121616405280421,3.086207846769472,2.916601844291516,3.023670115342142
ENSG00000105372,3.4321536261610626,3.1659287770029594,2.9418449375315827,3.0917701727476015
ENSG00000173812,3.3630856730227805,3.146586412800304,2.916601844291516,2.8510260681355715
ENSG00000186468,3.4967578391195566,3.1659287770029594,2.719429616963512,2.7404401955421145
