GENES,L19,L24,L20,L22,K21,K22,K24
ENSG00000080824,4.15863298755554,3.999985964403714,4.162151921889596,4.1303386473629375,4.141545360358362,4.137000189213712,4.081940248413483
ENSG00000026025,4.322034637308292,3.7347931152342655,3.701449308452108,3.3970413049301937,3.682360864947262,3.7500440436990266,3.7216873475981416
ENSG00000111640,4.349074821446694,4.242570332359296,4.108949549184743,4.295984294310813,4.134828281578567,4.147639362734866,4.135481031632986
ENSG00000120708,4.62680841382092,3.9221604014452898,3.8796477568367527,3.815309695422698,3.8919027935992014,3.896304222231692,4.025369878737251
ENSG00000166710,4.695148676272135,3.3571452485311646,3.303168965672093,3.3065094851779486,3.2841530826734435,3.597187023331345,3.7216873475981416
ENSG00000197956,4.514653352586679,3.913127046912788,3.862317006365573,3.815309695422698,3.925696985227968,3.8546275596119632,3.84225428958934
ENSG00000123416,4.335646123037972,3.6675043702254166,3.913433413005377,3.824759748408254,3.829867292690295,3.8894776187640647,3.885012471212639
ENSG00000065978,3.7569408990133732,4.175069058891595,4.122517845738502,4.123385497989353,4.224994019858917,4.087671418112897,4.088791725496353
ENSG00000231500,4.029629349057124,3.974711160169972,3.913433413005377,3.997124257202218,3.9663944276520873,3.9996309852696896,4.018068151207807
ENSG00000137154,3.628455670414186,3.7978381397498215,4.067103811162597,3.931698866233104,4.134828281578567,3.9621233774693394,4.081940248413483
ENSG00000137818,3.9333428995080872,3.6904407346808887,3.604499979998787,3.506260046648725,3.8745675515458937,3.676533353105429,3.815693361351391
ENSG00000167996,4.413639603269083,3.7772616207930954,3.6157480978522187,3.5317975981295184,3.763727365154988,3.7341689683707857,3.660726619646639
ENSG00000138326,3.9433996030298437,3.84749998804636,3.789824593211992,3.931698866233104,3.811412294257335,3.7733938973618533,3.7884076556720037
ENSG00000135480,4.001704193374762,3.8571431155308633,4.038201046641435,3.815309695422698,4.013141083421916,3.9297552222802383,3.934020068518004
ENSG00000134333,3.7807694207877938,4.01648777118458,3.90509340801558,3.870715143924399,4.043134004528024,3.9030845389869095,3.8334788009739262
ENSG00000146648,2.279977295855909,3.991631808603069,4.142531228462349,3.9649465265380033,3.8919027935992014,3.987284105271136,4.1023554394711415
ENSG00000171858,3.7075096815406914,3.6790383106135667,3.871019925495299,3.805769486277895,3.7926102949224414,3.868713658549592,3.8334788009739262
ENSG00000182718,4.1258262204964335,3.6790383106135667,3.862317006365573,3.8616914651800216,3.763727365154988,3.818518982442797,3.89334901374742
ENSG00000172757,4.182550515961656,3.8571431155308633,3.8796477568367527,3.870715143924399,3.692901169202456,3.8546275596119632,3.7412088280045284
ENSG00000105974,3.2496218265358645,4.0798996497285565,3.7515074543373186,3.6616657536961785,3.8020554833363773,3.987284105271136,4.003302777330141
